input_adm_area_1, input_adm_area_2, input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
Acre,,,Acre,,,BRA.1_1
Alagoas,,,Alagoas,,,BRA.2_1
Amapá,,,Amapá,,,BRA.3_1
Amazonas,,,Amazonas,,,BRA.4_1
Bahia,,,Bahia,,,BRA.5_1
Ceará,,,Ceará,,,BRA.6_1
Distrito Federal,,,Distrito Federal,,,BRA.7_1
Espirito Santo,,,Espírito Santo,,,BRA.8_1
Goiás,,,Goiás,,,BRA.9_1
Maranhão,,,Maranhão,,,BRA.10_1
Mato Grosso,,,Mato Grosso,,,BRA.12_1
Mato Grosso do Sul,,,Mato Grosso do Sul,,,BRA.11_1
Minas Gerais,,,Minas Gerais,,,BRA.13_1
Pará,,,Pará,,,BRA.14_1
Paraíba,,,Paraíba,,,BRA.15_1
Paraná,,,Paraná,,,BRA.16_1
Pernambuco,,,Pernambuco,,,BRA.17_1
Piauí,,,Piauí,,,BRA.18_1
Rio de Janeiro,,,Rio de Janeiro,,,BRA.19_1
Rio Grande do Norte,,,Rio Grande do Norte,,,BRA.20_1
Rio Grande do Sul,,,Rio Grande do Sul,,,BRA.21_1
Rondônia,,,Rondônia,,,BRA.22_1
Roraima,,,Roraima,,,BRA.23_1
Santa Catarina,,,Santa Catarina,,,BRA.24_1
São Paulo,,,São Paulo,,,BRA.25_1
Sergipe,,,Sergipe,,,BRA.26_1
Tocantins,,,Tocantins,,,BRA.27_1
