input_adm_area_1, input_adm_area_2, input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
Alberta,,,Alberta,,,CAN.1_1
British Columbia,,,British Columbia,,,CAN.2_1
Manitoba,,,Manitoba,,,CAN.3_1
New Brunswick,,,New Brunswick,,,CAN.4_1
Newfoundland and Labrador,,,Newfoundland and Labrador,,,CAN.5_1
Northwest Territories,,,Northwest Territories,,,CAN.6_1
Nova Scotia,,,Nova Scotia,,,CAN.7_1
Nunavut,,,Nunavut,,,CAN.8_1
Ontario,,,Ontario,,,CAN.9_1
Prince Edward Island,,,Prince Edward Island,,,CAN.10_1
Quebec,,,Québec,,,CAN.11_1
Saskatchewan,,,Saskatchewan,,,CAN.12_1
Yukon,,,Yukon,,,CAN.13_1
