countrycode,input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
CHN,Anhui,,,Anhui,,,CHN.1_1
CHN,Beijing,,,Beijing,,,CHN.2_1
CHN,Chongqing,,,Chongqing,,,CHN.3_1
CHN,Fujian,,,Fujian,,,CHN.4_1
CHN,Gansu,,,Gansu,,,CHN.5_1
CHN,Guangdong,,,Guangdong,,,CHN.6_1
CHN,Guangxi,,,Guangxi,,,CHN.7_1
CHN,Guizhou,,,Guizhou,,,CHN.8_1
CHN,Hainan,,,Hainan,,,CHN.9_1
CHN,Hebei,,,Hebei,,,CHN.10_1
CHN,Heilongjiang,,,Heilongjiang,,,CHN.11_1
CHN,Henan,,,Henan,,,CHN.12_1
CHN,Hubei,,,Hubei,,,CHN.13_1
CHN,Hunan,,,Hunan,,,CHN.14_1
CHN,Jiangsu,,,Jiangsu,,,CHN.15_1
CHN,Jiangxi,,,Jiangxi,,,CHN.16_1
CHN,Jilin,,,Jilin,,,CHN.17_1
CHN,Liaoning,,,Liaoning,,,CHN.18_1
CHN,Inner Mongolia,,,Nei Mongol,,,CHN.19_1
CHN,Ningxia,,,Ningxia Hui,,,CHN.20_1
CHN,Qinghai,,,Qinghai,,,CHN.21_1
CHN,Shaanxi,,,Shaanxi,,,CHN.22_1
CHN,Shandong,,,Shandong,,,CHN.23_1
CHN,Shanghai,,,Shanghai,,,CHN.24_1
CHN,Shanxi,,,Shanxi,,,CHN.25_1
CHN,Sichuan,,,Sichuan,,,CHN.26_1
CHN,Tianjin,,,Tianjin,,,CHN.27_1
CHN,Xinjiang,,,Xinjiang Uygur,,,CHN.28_1
CHN,Tibet,,,Xizang,,,CHN.29_1
CHN,Yunnan,,,Yunnan,,,CHN.30_1
CHN,Zhejiang,,,Zhejiang,,,CHN.31_1
