countrycode,input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
CZE,Jihočeský kraj,,,Jihočeský,,,CZE.1_1
CZE,Jihomoravský kraj,,,Jihomoravský,,,CZE.2_1
CZE,Karlovarský kraj,,,Karlovarský,,,CZE.3_1
CZE,Kraj Vysočina,,,Kraj Vysočina,,,CZE.4_1
CZE,Královéhradecký kraj,,,Královéhradecký,,,CZE.5_1
CZE,Liberecký kraj,,,Liberecký,,,CZE.6_1
CZE,Moravskoslezský kraj,,,Moravskoslezský,,,CZE.7_1
CZE,Olomoucký kraj,,,Olomoucký,,,CZE.8_1
CZE,Pardubický kraj,,,Pardubický,,,CZE.9_1
CZE,Plzeňský kraj,,,Plzeňský,,,CZE.10_1
CZE,Hlavní město Praha,,,Prague,,,CZE.11_1
CZE,Středočeský kraj,,,Středočeský,,,CZE.12_1
CZE,Ústecký kraj,,,Ústecký,,,CZE.13_1
CZE,Zlínský kraj,,,Zlínský,,,CZE.14_1
