input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
Northern Ireland,,,Northern Ireland,,,GBR.2_1
Northern Ireland,Antrim and Newtownabbey,,Northern Ireland,Antrim and Newtownabbey,,GBR.2.1_1
Northern Ireland,"Armagh, Banbridge and Craigavon",,Northern Ireland,"Armagh City, Banbridge and Craigavon",,GBR.2.2_1
Northern Ireland,"Armagh City, Banbridge and Craigavon",,Northern Ireland,"Armagh City, Banbridge and Craigavon",,GBR.2.2_1
Northern Ireland,Belfast,,Northern Ireland,Belfast,,GBR.2.3_1
Northern Ireland,Causeway Coast and Glens,,Northern Ireland,Causeway Coast and Glens,,GBR.2.4_1
Northern Ireland,Derry City and Strabane,,Northern Ireland,Derry City and Strabane,,GBR.2.5_1
Northern Ireland,Fermanagh and Omagh,,Northern Ireland,Fermanagh and Omagh,,GBR.2.6_1
Northern Ireland,Lisburn and Castlereagh,,Northern Ireland,Lisburn and Castlereagh,,GBR.2.7_1
Northern Ireland,Mid and East Antrim,,Northern Ireland,Mid and East Antrim,,GBR.2.8_1
Northern Ireland,Mid Ulster,,Northern Ireland,Mid Ulster,,GBR.2.9_1
Northern Ireland,"Newry, Mourne and Down",,Northern Ireland,"Newry, Mourne and Down",,GBR.2.10_1
Northern Ireland,Ards and North Down,,Northern Ireland,Ards and North Down,,GBR.2.11_1
Northern Ireland,Not Known,,Northern Ireland,Unknown,,
