input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
Adur,,,England,West Sussex,Adur,GBR.1.110.1_1
Allerdale,,,England,Cumbria,Allerdale,GBR.1.22.1_1
Amber Valley,,,England,Derbyshire,Amber Valley,GBR.1.25.1_1
Arun,,,England,West Sussex,Arun,GBR.1.110.2_1
Ashfield,,,England,Nottinghamshire,Ashfield,GBR.1.67.1_1
Ashford,,,England,Kent,Ashford,GBR.1.44.1_1
Aylesbury Vale,,,England,Buckinghamshire,Aylesbury Vale,GBR.1.13.1_1
Babergh,,,England,Suffolk,Babergh,GBR.1.96.1_1
Barking and Dagenham,,,England,Greater London,Barking and Dagenham,GBR.1.36.1_1
Barnet,,,England,Greater London,Barnet,GBR.1.36.2_1
Barnsley,,,England,Barnsley,Barnsley,GBR.1.1.1_1
Barrow-in-Furness,,,England,Cumbria,Barrow-in-Furness,GBR.1.22.2_1
Basildon,,,England,Essex,Basildon,GBR.1.33.1_1
Basingstoke and Deane,,,England,Hampshire,Basingstoke and Deane,GBR.1.38.1_1
Bassetlaw,,,England,Nottinghamshire,Bassetlaw,GBR.1.67.2_1
Bath and North East Somerset,,,England,Bath and North East Somerset,Bath and North East Somerset,GBR.1.2.1_1
Bedford,,,England,Bedfordshire,Bedford,GBR.1.3.1_1
Bexley,,,England,Greater London,Bexley,GBR.1.36.3_1
Birmingham,,,England,Birmingham,Birmingham,GBR.1.4.1_1
Blaby,,,England,Leicestershire,Blaby,GBR.1.51.1_1
Blackburn with Darwen,,,England,Blackburn with Darwen,Blackburn with Darwen,GBR.1.5.1_1
Blackpool,,,England,Blackpool,Blackpool,GBR.1.6.1_1
Bolsover,,,England,Derbyshire,Bolsover,GBR.1.25.2_1
Bolton,,,England,Bolton,Bolton,GBR.1.7.1_1
Boston,,,England,Lincolnshire,Boston,GBR.1.52.1_1
"Bournemouth, Christchurch and Poole",,,England,Bournemouth,"Bournemouth, Christchurch and Poole",GBR.1.8.1_1:GBR.1.28.1_1:GBR.1.72.1_1
Bracknell Forest,,,England,Bracknell Forest,Bracknell Forest,GBR.1.9.1_1
Bradford,,,England,Bradford,Bradford,GBR.1.10.1_1
Braintree,,,England,Essex,Braintree,GBR.1.33.2_1
Breckland,,,England,Norfolk,Breckland,GBR.1.59.1_1
Brent,,,England,Greater London,Brent,GBR.1.36.4_1
Brentwood,,,England,Essex,Brentwood,GBR.1.33.3_1
Brighton and Hove,,,England,Brighton and Hove,Brighton and Hove,GBR.1.11.1_1
"Bristol, City of",,,England,Bristol,Bristol,GBR.1.12.1_1
Broadland,,,England,Norfolk,Broadland,GBR.1.59.2_1
Bromley,,,England,Greater London,Bromley,GBR.1.36.5_1
Bromsgrove,,,England,Worcestershire,Bromsgrove,GBR.1.117.1_1
Broxbourne,,,England,Hertfordshire,Broxbourne,GBR.1.41.1_1
Broxtowe,,,England,Nottinghamshire,Broxtowe,GBR.1.67.3_1
Burnley,,,England,Lancashire,Burnley,GBR.1.48.1_1
Bury,,,England,Bury,Bury,GBR.1.14.1_1
Calderdale,,,England,Calderdale,Calderdale,GBR.1.15.1_1
Cambridge,,,England,Cambridgeshire,Cambridge,GBR.1.16.1_1
Camden,,,England,Greater London,Camden,GBR.1.36.6_1
Cannock Chase,,,England,Staffordshire,Cannock Chase,GBR.1.92.1_1
Canterbury,,,England,Kent,Canterbury,GBR.1.44.2_1
Carlisle,,,England,Cumbria,Carlisle,GBR.1.22.3_1
Castle Point,,,England,Essex,Castle Point,GBR.1.33.4_1
Central Bedfordshire,,,England,Central Bedfordshire,Central Bedfordshire,GBR.1.17.1_1
Charnwood,,,England,Leicestershire,Charnwood,GBR.1.51.2_1
Chelmsford,,,England,Essex,Chelmsford,GBR.1.33.5_1
Cheltenham,,,England,Gloucestershire,Cheltenham,GBR.1.35.1_1
Cherwell,,,England,Oxfordshire,Cherwell,GBR.1.69.1_1
Cheshire East,,,England,Cheshire East,Cheshire East,GBR.1.18.1_1
Cheshire West and Chester,,,England,Cheshire West and Chester,Cheshire West and Chester,GBR.1.19.1_1
Chesterfield,,,England,Derbyshire,Chesterfield,GBR.1.25.3_1
Chichester,,,England,West Sussex,Chichester,GBR.1.110.3_1
Chiltern,,,England,Buckinghamshire,Chiltern,GBR.1.13.2_1
Chorley,,,England,Lancashire,Chorley,GBR.1.48.2_1
City of London,,,England,Greater London,London,GBR.1.36.23_1
Colchester,,,England,Essex,Colchester,GBR.1.33.6_1
Copeland,,,England,Cumbria,Copeland,GBR.1.22.4_1
Corby,,,England,Northamptonshire,Corby,GBR.1.64.1_1
Cornwall and Isles of Scilly,,,England,Cornwall,Cornwall and Isles of Scilly,GBR.1.20.1_1:GBR.1.43.1_1
Cotswold,,,England,Gloucestershire,Cotswold,GBR.1.35.2_1
County Durham,,,England,Durham,Durham,GBR.1.30.1_1
Coventry,,,England,Coventry,Coventry,GBR.1.21.1_1
Craven,,,England,North Yorkshire,Craven,GBR.1.63.1_1
Crawley,,,England,West Sussex,Crawley,GBR.1.110.4_1
Croydon,,,England,Greater London,Croydon,GBR.1.36.7_1
Dacorum,,,England,Hertfordshire,Dacorum,GBR.1.41.2_1
Darlington,,,England,Darlington,Darlington,GBR.1.23.1_1
Dartford,,,England,Kent,Dartford,GBR.1.44.3_1
Daventry,,,England,Northamptonshire,Daventry,GBR.1.64.2_1
Derby,,,England,Derby,Derby,GBR.1.24.1_1
Derbyshire Dales,,,England,Derbyshire,Derbyshire Dales,GBR.1.25.4_1
Doncaster,,,England,Doncaster,Doncaster,GBR.1.27.1_1
Dorset,,,England,Dorset,Dorset,GBR.1.28.2_1:GBR.1.28.3_1:GBR.1.28.4_1:GBR.1.28.5_1:GBR.1.28.6_1
Dover,,,England,Kent,Dover,GBR.1.44.4_1
Dudley,,,England,Dudley,Dudley,GBR.1.29.1_1
Ealing,,,England,Greater London,Ealing,GBR.1.36.8_1
East Cambridgeshire,,,England,Cambridgeshire,East Cambridgeshire,GBR.1.16.2_1
East Devon,,,England,Devon,East Devon,GBR.1.26.1_1
East Hampshire,,,England,Hampshire,East Hampshire,GBR.1.38.2_1
East Hertfordshire,,,England,Hertfordshire,East Hertfordshire,GBR.1.41.3_1
East Lindsey,,,England,Lincolnshire,East Lindsey,GBR.1.52.2_1
East Northamptonshire,,,England,Northamptonshire,East Northamptonshire,GBR.1.64.3_1
East Riding of Yorkshire,,,England,East Riding of Yorkshire,East Riding of Yorkshire,GBR.1.31.1_1
East Staffordshire,,,England,Staffordshire,East Staffordshire,GBR.1.92.2_1
East Suffolk,,,England,Suffolk,East Suffolk,GBR.1.96.6_1:GBR.1.96.7_1
Eastbourne,,,England,East Sussex,Eastbourne,GBR.1.32.1_1
Eastleigh,,,England,Hampshire,Eastleigh,GBR.1.38.3_1
Eden,,,England,Cumbria,Eden,GBR.1.22.5_1
Elmbridge,,,England,Surrey,Elmbridge,GBR.1.98.1_1
Enfield,,,England,Greater London,Enfield,GBR.1.36.9_1
Epping Forest,,,England,Essex,Epping Forest,GBR.1.33.7_1
Epsom and Ewell,,,England,Surrey,Epsom and Ewell,GBR.1.98.2_1
Erewash,,,England,Derbyshire,Erewash,GBR.1.25.5_1
Exeter,,,England,Devon,Exeter,GBR.1.26.2_1
Fareham,,,England,Hampshire,Fareham,GBR.1.38.4_1
Fenland,,,England,Cambridgeshire,Fenland,GBR.1.16.3_1
Folkestone and Hythe,,,England,Kent,Shepway,GBR.1.44.8_1
Forest of Dean,,,England,Gloucestershire,Forest of Dean,GBR.1.35.3_1
Fylde,,,England,Lancashire,Fylde,GBR.1.48.3_1
Gateshead,,,England,Gateshead,Gateshead,GBR.1.34.1_1
Gedling,,,England,Nottinghamshire,Gedling,GBR.1.67.4_1
Gloucester,,,England,Gloucestershire,Gloucester,GBR.1.35.4_1
Gosport,,,England,Hampshire,Gosport,GBR.1.38.5_1
Gravesham,,,England,Kent,Gravesham,GBR.1.44.5_1
Great Yarmouth,,,England,Norfolk,Great Yarmouth,GBR.1.59.3_1
Greenwich,,,England,Greater London,Greenwich,GBR.1.36.10_1
Guildford,,,England,Surrey,Guildford,GBR.1.98.3_1
Hackney,,,England,Greater London,Hackney,GBR.1.36.11_1
Halton,,,England,Halton,Halton,GBR.1.37.1_1
Hambleton,,,England,North Yorkshire,Hambleton,GBR.1.63.2_1
Hammersmith and Fulham,,,England,Greater London,Hammersmith and Fulham,GBR.1.36.12_1
Harborough,,,England,Leicestershire,Harborough,GBR.1.51.3_1
Haringey,,,England,Greater London,Haringey,GBR.1.36.13_1
Harlow,,,England,Essex,Harlow,GBR.1.33.8_1
Harrogate,,,England,North Yorkshire,Harrogate,GBR.1.63.3_1
Harrow,,,England,Greater London,Harrow,GBR.1.36.14_1
Hart,,,England,Hampshire,Hart,GBR.1.38.6_1
Hartlepool,,,England,Hartlepool,Hartlepool,GBR.1.39.1_1
Hastings,,,England,East Sussex,Hastings,GBR.1.32.2_1
Havant,,,England,Hampshire,Havant,GBR.1.38.7_1
Havering,,,England,Greater London,Havering,GBR.1.36.15_1
"Herefordshire, County of",,,England,Herefordshire,Herefordshire,GBR.1.40.1_1
Hertsmere,,,England,Hertfordshire,Hertsmere,GBR.1.41.4_1
High Peak,,,England,Derbyshire,High Peak,GBR.1.25.6_1
Hillingdon,,,England,Greater London,Hillingdon,GBR.1.36.16_1
Hinckley and Bosworth,,,England,Leicestershire,Hinckley and Bosworth,GBR.1.51.4_1
Horsham,,,England,West Sussex,Horsham,GBR.1.110.5_1
Hounslow,,,England,Greater London,Hounslow,GBR.1.36.17_1
Huntingdonshire,,,England,Cambridgeshire,Huntingdonshire,GBR.1.16.4_1
Hyndburn,,,England,Lancashire,Hyndburn,GBR.1.48.4_1
Ipswich,,,England,Suffolk,Ipswich,GBR.1.96.3_1
Isle of Wight,,,England,Isle of Wight,Isle of Wight,GBR.1.42.1_1
Islington,,,England,Greater London,Islington,GBR.1.36.18_1
Kensington and Chelsea,,,England,Greater London,Kensington and Chelsea,GBR.1.36.19_1
Kettering,,,England,Northamptonshire,Kettering,GBR.1.64.4_1
King's Lynn and West Norfolk,,,England,Cambridgeshire,King's Lynn and West Norfolk,GBR.1.16.5_1
"Kingston upon Hull, City of",,,England,Kingston upon Hull,Kingston upon Hull,GBR.1.45.1_1
Kingston upon Thames,,,England,Greater London,Kingston upon Thames,GBR.1.36.20_1
Kirklees,,,England,Kirklees,Kirklees,GBR.1.46.1_1
Knowsley,,,England,Knowsley,Knowsley,GBR.1.47.1_1
Lambeth,,,England,Greater London,Lambeth,GBR.1.36.21_1
Lancaster,,,England,Lancashire,Lancaster,GBR.1.48.5_1
Leeds,,,England,Leeds,Leeds,GBR.1.49.1_1
Leicester,,,England,Leicester,Leicester,GBR.1.50.1_1
Lewes,,,England,East Sussex,Lewes,GBR.1.32.3_1
Lewisham,,,England,Greater London,Lewisham,GBR.1.36.22_1
Lichfield,,,England,Staffordshire,Lichfield,GBR.1.92.3_1
Lincoln,,,England,Lincolnshire,Lincoln,GBR.1.52.3_1
Liverpool,,,England,Sefton,Liverpool,GBR.1.82.1_1
Luton,,,England,Luton,Luton,GBR.1.53.1_1
Maidstone,,,England,Kent,Maidstone,GBR.1.44.6_1
