input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
UK,,,,,,GBR
England,,,England,,,GBR.1_1
Northern Ireland,,,Northern Ireland,,,GBR.2_1
Scotland,,,Scotland,,,GBR.3_1
Wales,,,Wales,,,GBR.4_1
England,County Durham,,England,County Durham,,GBR.1.30_1
England,Darlington,,England,Darlington,,GBR.1.23_1
England,Hartlepool,,England,Hartlepool,,GBR.1.39_1
England,Middlesbrough,,England,Middlesbrough,,GBR.1.56_1
England,Redcar and Cleveland,,England,Redcar and Cleveland,,GBR.1.75_1
England,Stockton-on-Tees,,England,Stockton-on-Tees,,GBR.1.94_1
England,Gateshead,,England,Gateshead,,GBR.1.34_1
England,Newcastle upon Tyne,,England,Newcastle upon Tyne,,GBR.1.58_1
England,North Tyneside,,England,North Tyneside,,GBR.1.62_1
England,Northumberland,,England,Northumberland,,GBR.1.65_1
England,South Tyneside,,England,South Tyneside,,GBR.1.89_1
England,Sunderland,,England,Sunderland,,GBR.1.97_1
England,Cumbria,,England,Cumbria,,GBR.1.22_1
England,Cheshire East,,England,Cheshire East,,GBR.1.18_1
England,Cheshire West and Chester,,England,Cheshire West and Chester,,GBR.1.19_1
England,Halton,,England,Halton,,GBR.1.37_1
England,Warrington,,England,Warrington,,GBR.1.107_1
England,Bolton,,England,Bolton,,GBR.1.7_1
England,Bury,,England,Bury,,GBR.1.14_1
England,Manchester,,England,Manchester,,GBR.1.54_1
England,Oldham,,England,Oldham,,GBR.1.68_1
England,Rochdale,,England,Rochdale,,GBR.1.76_1
England,Salford,,England,Salford,,GBR.1.80_1
England,Stockport,,England,Stockport,,GBR.1.93_1
England,Tameside,,England,Tameside,,GBR.1.100_1
England,Trafford,,England,Trafford,,GBR.1.104_1
England,Wigan,,England,Wigan,,GBR.1.111_1
England,Blackburn with Darwen,,England,Blackburn with Darwen,,GBR.1.5_1
England,Blackpool,,England,Blackpool,,GBR.1.6_1
England,Lancashire,,England,Lancashire,,GBR.1.48_1
England,Knowsley,,England,Knowsley,,GBR.1.47_1
England,Liverpool,,England,Liverpool,,GBR.1.82.1_1
England,Sefton,,England,Sefton,,GBR.1.82.2_1
England,St. Helens,,England,St. Helens,,GBR.1.79_1
England,Wirral,,England,Wirral,,GBR.1.114_1
England,East Riding of Yorkshire,,England,East Riding of Yorkshire,,GBR.1.31_1
England,"Kingston upon Hull, City of",,England,"Kingston upon Hull, City of",,GBR.1.45_1
England,North East Lincolnshire,,England,North East Lincolnshire,,GBR.1.52.4_1
England,North Lincolnshire,,England,North Lincolnshire,,GBR.1.60_1
England,North Yorkshire,,England,North Yorkshire,,GBR.1.63_1
England,York,,England,York,,GBR.1.118_1
England,Barnsley,,England,Barnsley,,GBR.1.1_1
England,Doncaster,,England,Doncaster,,GBR.1.27_1
England,Rotherham,,England,Rotherham,,GBR.1.77_1
England,Sheffield,,England,Sheffield,,GBR.1.83_1
England,Bradford,,England,Bradford,,GBR.1.10_1
England,Calderdale,,England,Calderdale,,GBR.1.15_1
England,Kirklees,,England,Kirklees,,GBR.1.46_1
England,Leeds,,England,Leeds,,GBR.1.49_1
England,Wakefield,,England,Wakefield,,GBR.1.105_1
England,Derby,,England,Derby,,GBR.1.24_1
England,Derbyshire,,England,Derbyshire,,GBR.1.25_1
England,Nottingham,,England,Nottingham,,GBR.1.66_1
England,Nottinghamshire,,England,Nottinghamshire,,GBR.1.67_1
England,Leicester,,England,Leicester,,GBR.1.50_1
England,Leicestershire,,England,Leicestershire,,GBR.1.51_1
England,Northamptonshire,,England,Northamptonshire,,GBR.1.64_1
England,Rutland,,England,Rutland,,GBR.1.78_1
England,Lincolnshire,,England,Lincolnshire,,GBR.1.52.1_1:GBR.1.52.2_1:GBR.1.52.3_1:GBR.1.52.5_1:GBR.1.52.6_1:GBR.1.52.7_1:GBR.1.52.8_1
England,"Herefordshire, County of",,England,"Herefordshire, County of",,GBR.1.40_1
England,Warwickshire,,England,Warwickshire,,GBR.1.108_1
England,Worcestershire,,England,Worcestershire,,GBR.1.117_1
England,Shropshire,,England,Shropshire,,GBR.1.84_1
England,Staffordshire,,England,Staffordshire,,GBR.1.92_1
England,Stoke-on-Trent,,England,Stoke-on-Trent,,GBR.1.95_1
England,Telford and Wrekin,,England,Telford and Wrekin,,GBR.1.101_1
England,Birmingham,,England,Birmingham,,GBR.1.4_1
England,Coventry,,England,Coventry,,GBR.1.21_1
England,Dudley,,England,Dudley,,GBR.1.29_1
England,Sandwell,,England,Sandwell,,GBR.1.81_1
England,Solihull,,England,Solihull,,GBR.1.86_1
England,Walsall,,England,Walsall,,GBR.1.106_1
