input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
Betsi Cadwaladr University Health Board,,,Wales,Betsi Cadwaladr University Health Board,,GBR.4.1_1:GBR.4.11_1:GBR.4.8_1:GBR.4.9_1:GBR.4.10_1:GBR.4.22_1
Cwm Taf Morgannwg University Health Board,,,Wales,Cwm Taf Morgannwg University Health Board,,GBR.4.12_1:GBR.4.18_1
Powys Teaching Health Board,,,Wales,Powys Teaching Health Board,,GBR.4.17_1
Aneurin Bevan University Health Board,,,Wales,Aneurin Bevan University Health Board,,GBR.4.2_1:GBR.4.4_1:GBR.4.20_1:GBR.4.13_1:GBR.4.15_1
Swansea Bay University Health Board,,,Wales,Swansea Bay University Health Board,,GBR.4.3_1:GBR.4.14_1:GBR.4.19_1
Cardiff and Vale University Health Board,,,Wales,Cardiff and Vale University Health Board,,GBR.4.5_1:GBR.4.21_1
Hywel Dda University Health Board,,,Wales,Hywel Dda University Health Board,,GBR.4.6_1:GBR.4.7_1:GBR.4.16_1
Isle of Anglesey,,,Wales,Anglesey,,GBR.4.1_1
Blaenau Gwent,,,Wales,Blaenau Gwent,,GBR.4.2_1
Bridgend,,,Wales,Bridgend,,GBR.4.3_1
Caerphilly,,,Wales,Caerphilly,,GBR.4.4_1
Cardiff,,,Wales,Cardiff,,GBR.4.5_1
Carmarthenshire,,,Wales,Carmarthenshire,,GBR.4.6_1
Ceredigion,,,Wales,Ceredigion,,GBR.4.7_1
Conwy,,,Wales,Conwy,,GBR.4.8_1
Denbighshire,,,Wales,Denbighshire,,GBR.4.9_1
Flintshire,,,Wales,Flintshire,,GBR.4.10_1
Gwynedd,,,Wales,Gwynedd,,GBR.4.11_1
Merthyr Tydfil,,,Wales,Merthyr Tydfil,,GBR.4.12_1
Monmouthshire,,,Wales,Monmouthshire,,GBR.4.13_1
Neath Port Talbot,,,Wales,Neath Port Talbot,,GBR.4.14_1
Newport,,,Wales,Newport,,GBR.4.15_1
Pembrokeshire,,,Wales,Pembrokeshire,,GBR.4.16_1
Powys,,,Wales,Powys,,GBR.4.17_1
Rhondda Cynon Taf,,,Wales,"Rhondda, Cynon, Taff",,GBR.4.18_1
Swansea,,,Wales,Swansea,,GBR.4.19_1
Torfaen,,,Wales,Torfaen,,GBR.4.20_1
Vale of Glamorgan,,,Wales,Vale of Glamorgan,,GBR.4.21_1
Wrexham,,,Wales,Wrexham,,GBR.4.22_1
Unknown,,,Wales,Unknown,,
Total,,,Wales,,,GBR.4_1
