countrycode, input_adm_area_1, input_adm_area_2, input_adm_area_3, adm_area_1, adm_area_2, adm_area_3, gid
AGO,Huila,,,Huíla,,,AGO.10_1
BFA,Hauts-Bassins,,,Haut-Bassins,,,BFA.9_1
BOL,Beni,,,El Beni,,,BOL.3_1
BOL,Potosi,,,Potosí,,,BOL.7_1
BHS,Freeport,,,City of Freeport,,,BHS.9_1
# ARG
ARG,Cordoba,,,Córdoba,,,ARG.6_1
ARG,Entre Rios,,,Entre Ríos,,,ARG.8_1
ARG,Neuquen,,,Neuquén,,,ARG.15_1
# Canada
CAN,Quebec,,,Québec,,,CAN.11_1
# ESP
ESP,Andalusia,,,Andalucía,,,ESP.1_1
ESP,Aragon,,,Aragón,,,ESP.2_1
ESP,Asturias,,,Principado de Asturias,,,ESP.17_1
ESP,Castile and León,,,Castilla y León,,,ESP.5_1
ESP,Castile-La Mancha,,,Castilla-La Mancha,,,ESP.4_1
ESP,Catalonia,,,Cataluña,,,ESP.6_1
ESP,Ceuta,,,Ceuta y Melilla,Ceuta,,ESP.7.1_1
ESP,Community of Madrid,,,Comunidad de Madrid,,,ESP.8_1
ESP,Melilla,,,Ceuta y Melilla,Melilla,,ESP.7.2_1
ESP,Navarre,,,Comunidad Foral de Navarra,,,ESP.9_1
ESP,Valencian Community,,,Comunidad Valenciana,,,ESP.10_1
ESP,of Murcia,,,Región de Murcia,,,ESP.18_1
ESP,Canary Islands,,,Islas Canarias,,,ESP.14_1
ESP,Balearic Islands,,,Islas Baleares,,,ESP.13_1
ESP,Basque Country,,,País Vasco,,,ESP.16_1
# France
FRA,Brittany,,,Bretagne,,,FRA.3_1
FRA,Corsica,,,Corse,,,FRA.5_1
FRA,Normandy,,,Normandie,,,FRA.9_1
# Greece
GRC,Decentralized Administration of Attica,,,Attica,,,GRC.3_1
GRC,Decentralized Administration of Epirus and Western Macedonia,,,Epirus and Western Macedonia,,,GRC.5_1
GRC,Decentralized Administration of Macedonia and Thrace,,,Macedonia and Thrace,,,GRC.6_1
GRC,"Decentralized Administration of Peloponnese, Western Greece and the Ionian",,,"Peloponnese, Western Greece and the Ionian Islands",,,GRC.7_1
GRC,Decentralized Administration of Thessaly and Central Greece,,,Thessaly and Central Greece,,,GRC.8_1
GRC,Decentralized Administration of the Aegean,,,Aegean,,,GRC.1_1
GRC,Decentralized Administration of Crete,,,Crete,,,GRC.4_1
# Deutschland
DEU,Bavaria,,,Bayern,,,DEU.2_1
DEU,Hesse,,,Hessen,,,DEU.7_1
DEU,Lower Saxony,,,Niedersachsen,,,DEU.9_1
DEU,North Rhine-Westphalia,,,Nordrhein-Westfalen,,,DEU.10_1
DEU,Rhineland-Palatinate,,,Rheinland-Pfalz,,,DEU.11_1
DEU,Saxony,,,Sachsen,,,DEU.14_1
DEU,Saxony-Anhalt,,,Sachsen-Anhalt,,,DEU.13_1
DEU,Thuringia,,,Thüringen,,,DEU.16_1
# United Arab Emirates
ARE,Ras al Khaimah,,,Ras Al-Khaimah,,,ARE.5_1
ARE,Umm Al Quawain,,,Umm al-Qaywayn,,,ARE.7_1
# Ireland
IRL,Laois,,,Laoighis,,,IRL.11_1
# Italy
ITA,Aosta,,,Valle d'Aosta,,,ITA.19_1
ITA,Lombardy,,,Lombardia,,,ITA.10_1
ITA,Piedmont,,,Piemonte,,,ITA.13_1
ITA,Sardinia,,,Sardegna,,,ITA.14_1
ITA,Trentino-South Tyrol,,,Trentino-Alto Adige,,,ITA.17_1
ITA,Tuscany,,,Toscana,,,ITA.16_1
# Japan
JPN,Hyogo,,,Hyōgo,Fukusaki,,JPN.13.8_1
JPN,Nagasaki,,,Naoasaki,Nagasaki,,JPN.27.11_1
# Poland
POL,Lower Silesian Voivodeship,,,Dolnośląskie,,,POL.1_1
POL,Kuyavian-Pomeranian Voivodeship,,,Kujawsko-Pomorskie,,,POL.2_1
POL,Łódź Voivodeship,,,Łódzkie,,,POL.3_1
POL,Lublin Voivodeship,,,Lubelskie,,,POL.4_1
POL,Lubusz Voivodeship,,,Lubuskie,,,POL.5_1
POL,Lesser Poland Voivodeship,,,Małopolskie,,,POL.6_1
POL,Masovian Voivodeship,,,Mazowieckie,,,POL.7_1
POL,Opole Voivodeship,,,Opolskie,,,POL.8_1
POL,Podkarpackie Voivodeship,,,Podkarpackie,,,POL.9_1
POL,Podlaskie Voivodeship,,,Podlaskie,,,POL.10_1
POL,Pomeranian Voivodeship,,,Pomorskie,,,POL.11_1
POL,Silesian Voivodeship,,,Śląskie,,,POL.12_1
POL,Swietokrzyskie,,,Świętokrzyskie,,,POL.13_1
POL,Świętokrzyskie Voivodeship,,,Świętokrzyskie,,,POL.13_1
POL,Warmian-Masurian Voivodeship,,,Warmińsko-Mazurskie,,,POL.14_1
POL,Greater Poland Voivodeship,,,Wielkopolskie,,,POL.15_1
POL,West Pomeranian Voivodeship,,,Zachodniopomorskie,,,POL.16_1
# SWE
SWE,Gavleborg,,,Gävleborg,,,SWE.3_1
SWE,Jamtland,,,Jämtland,,,SWE.6_1
SWE,Jonkoping,,,Jönköping,,,SWE.7_1
SWE,Varmland,,,Värmland,,,SWE.17_1
SWE,Örebro,,,Orebro,,,SWE.11_1
# AUT
AUT,Carinthia,,,Carinthia,,,AUT.2_1
AUT,Lower Austria,,,Lower Austria,,,AUT.3_1
AUT,Styria,,,Styria,,,AUT.6_1
AUT,Tyrol,,,Tyrol,,,AUT.7_1
AUT,Upper Austria,,,Upper Austria,,,AUT.4_1
AUT,Vienna,,,Vienna,,,AUT.9_1
# BEL
BEL,Brussels,,,Brussels,,,BEL.1.1
BEL,Flanders,,,Flanders,,,BEL.2._1
BEL,Wallonia,,,Wallonia,,,BEL.3_1
# BGR
BGR,Jambol,,,Jambol,,,BGR.28_1
BGR,Lovec,,,Lovec,,,BGR.9_1
BGR,Smoljan,,,Smoljan,,,BGR.20_1
BGR,Sofia City,,,Sofia City,,,BGR.21_1
BGR,Vraca,,,Vraca,,,BGR.27_1
BRA,Federal,,,Federal,,,BRA.7_1
# CHE
CHE,Basel City,,,Basel City,,,CHE.5_1
CHE,Canton of Bern,,,Canton of Bern,,,CHE.6_1
CHE,Canton of Zug,,,Canton of Zug,,,CHE.25_1
CHE,Geneva,,,Geneva,,,CHE.8_1
CHE,Grisons,,,Grisons,,,CHE.10_1
CHE,St. Gallen,,,St. Gallen,,,CHE.16_1
CHE,Zurich,,,Zurich,,,CHE.26_1
# CHL
CHL,Araucania,,,Araucania,,,CHL.3_1
CHL,Aysén,,,Aysén,,,CHL.1_1
CHL,Bio Bio,,,Bio Bio,,,CHL.6_1
CHL,Magallanes and Chilean Antarctica,,,Magallanes and Chilean Antarctica,,,CHL.11_1
CHL,O'Higgins,,,O'Higgins,,,CHL.8_1
CHL,Santiago Metropolitan,,,Santiago Metropolitan,,,CHL.14_1
# COL
COL,Bogota,,,Bogota,,,COL.14.79_1
COL,Bolivar,,,Bolivar,,,COL.5_1
COL,Boyaca,,,Boyaca,,,COL.6_1
COL,Caqueta,,,Caqueta,,,COL.8_1
COL,Choco,,,Choco,,,COL.12_1
COL,Narino,,,Narino,,,COL.21_1
COL,North Santander,,,North Santander,,,COL.22_1
COL,Quindio,,,Quindio,,,COL.24_1
COL,San Andres and Providencia,,,San Andres and Providencia,,,COL.26_1
COL,Atlantico,,,Atlántico,,,COL.4_1
COL,Cordoba,,,Córdoba,,,COL.13_1
# CHE
CZE,Central Bohemian,,,Central Bohemian,,,CZE.12_1
CZE,Hradec Králové,,,Hradec Králové,,,CZE.5_1
CZE,Karlovy Vary,,,Karlovy Vary,,,CZE.3_1
CZE,Liberec,,,Liberec,,,CZE.6_1
CZE,Moravian-Silesian,,,Moravian-Silesian,,,CZE.7_1
CZE,Olomouc,,,Olomouc,,,CZE.8_1
CZE,Pardubice,,,Pardubice,,,CZE.9_1
CZE,Plzeň,,,Plzeň,,,CZE.10_1
CZE,South Bohemian,,,South Bohemian,,,CZE.1_1
CZE,South Moravian,,,South Moravian,,,CZE.2_1
CZE,Vysocina,,,Vysocina,,,CZE.4_1
CZE,Zlin,,,Zlin,,,CZE.14_1
CZE,Ústí nad Labem,,,Ústí nad Labem,,,CZE.13_1
# DNK
DNK,Capital  of Denmark,,,Capital  of Denmark,,,DNK.1_1
DNK,Central Denmark,,,Central Denmark,,,DNK.2_1
DNK,North Denmark,,,North Denmark,,,DNK.3_1
DNK,Zealand,,,Zealand,,,DNK.4_1
DNK,of Southern Denmark,,,of Southern Denmark,,,DNK.5_1
# EGY
EGY,Al Qalyubia,,,Al Qalyubia,,,EGY.12_1
EGY,Alexandria,,,Alexandria,,,EGY.6_1
EGY,Ash Sharqia,,,Ash Sharqia,,,EGY.16_1
EGY,Assiut,,,Assiut,,,EGY.18_1
EGY,Beni Suef,,,Beni Suef,,,EGY.19_1
EGY,Cairo,,,Cairo,,,EGY.11_1
EGY,Dakahlia,,,Dakahlia,,,EGY.1_1
EGY,Damietta,,,Damietta,,,EGY.21_1
EGY,El Beheira,,,El Beheira,,,EGY.3_1
EGY,Faiyum,,,Faiyum,,,EGY.4_1
EGY,Gharbia,,,Gharbia,,,EGY.5_1
EGY,Giza,,,Giza,,,EGY.8_1
EGY,Ismailia,,,Ismailia,,,EGY.7_1
EGY,Kafr El Sheikh,,,Kafr El Sheikh,,,EGY.23_1
