input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
ACEH,,,Aceh,,,IDN.1_1
BALI,,,Bali,,,IDN.2_1
KEPULAUAN_BANGKA_BELITUNG,,,Bangka Belitung,,,IDN.3_1
BANTEN,,,Banten,,,IDN.4_1
BENGKULU,,,Bengkulu,,,IDN.5_1
GORONTALO,,,Gorontalo,,,IDN.6_1
DKI_JAKARTA,,,Jakarta Raya,,,IDN.7_1
JAMBI,,,Jambi,,,IDN.8_1
JAWA_BARAT,,,Jawa Barat,,,IDN.9_1
JAWA_TENGAH,,,Jawa Tengah,,,IDN.10_1
JAWA_TIMUR,,,Jawa Timur,,,IDN.11_1
KALIMANTAN_BARAT,,,Kalimantan Barat,,,IDN.12_1
KALIMANTAN_SELATAN,,,Kalimantan Selatan,,,IDN.13_1
KALIMANTAN_TENGAH,,,Kalimantan Tengah,,,IDN.14_1
KALIMANTAN_TIMUR,,,Kalimantan Timur,,,IDN.15.1_1:IDN.15.2_1:IDN.15.3_1:IDN.15.5_1:IDN.15.6_1:IDN.15.7_1:IDN.15.10_1:IDN.15.11_1:IDN.15.12_1
KALIMANTAN_UTARA,,,Kalimantan Utara,,,IDN.15.4_1:IDN.15.8_1:IDN.15.9_1:IDN.15.13_1:IDN.15.14_1
KEPULAUAN_RIAU,,,Kepulauan Riau,,,IDN.16_1
LAMPUNG,,,Lampung,,,IDN.17_1
MALUKU,,,Maluku,,,IDN.19_1
MALUKU_UTARA,,,Maluku Utara,,,IDN.18_1
NUSA_TENGGARA_BARAT,,,Nusa Tenggara Barat,,,IDN.20_1
NUSA_TENGGARA_TIMUR,,,Nusa Tenggara Timur,,,IDN.21_1
PAPUA,,,Papua,,,IDN.23_1
PAPUA_BARAT,,,Papua Barat,,,IDN.22_1
RIAU,,,Riau,,,IDN.24_1
SULAWESI_BARAT,,,Sulawesi Barat,,,IDN.25_1
SULAWESI_SELATAN,,,Sulawesi Selatan,,,IDN.26_1
SULAWESI_TENGAH,,,Sulawesi Tengah,,,IDN.27_1
SULAWESI_TENGGARA,,,Sulawesi Tenggara,,,IDN.28_1
SULAWESI_UTARA,,,Sulawesi Utara,,,IDN.29_1
SUMATERA_BARAT,,,Sumatera Barat,,,IDN.30_1
SUMATERA_SELATAN,,,Sumatera Selatan,,,IDN.31_1
SUMATERA_UTARA,,,Sumatera Utara,,,IDN.32_1
DAERAH_ISTIMEWA_YOGYAKARTA,,,Yogyakarta,,,IDN.33_1
