input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
Andaman and Nicobar Islands,,,Andaman and Nicobar,,,IND.1_1
Andhra Pradesh,,,Andhra Pradesh,,,IND.2_1
Arunachal Pradesh,,,Arunachal Pradesh,,,IND.3_1
Assam,,,Assam,,,IND.4_1
Bihar,,,Bihar,,,IND.5_1
Chandigarh,,,Chandigarh,,,IND.6_1
Chhattisgarh,,,Chhattisgarh,,,IND.7_1
Dadra and Nagar Haveli,,,Dadra and Nagar Haveli,,,IND.8_1
Daman and Diu,,,Daman and Diu,,,IND.9_1
Goa,,,Goa,,,IND.10_1
Gujarat,,,Gujarat,,,IND.11_1
Haryana,,,Haryana,,,IND.12_1
Himachal Pradesh,,,Himachal Pradesh,,,IND.13_1
Jammu and Kashmir,,,Jammu and Kashmir,,,IND.14.1_1:IND.14.2_1:IND.14.3_1:IND.14.4_1:IND.14.5_1:IND.14.6_1:IND.14.7_1:IND.14.9_1:IND.14.10_1:IND.14.11_1:IND.14.12_1:IND.14.14_1:IND.14.15_1:IND.14.16_1:IND.14.17_1:IND.14.18_1:IND.14.19_1:IND.14.20_1:IND.14.21_1:IND.14.22_1
Ladakh,,,Ladakh,,,IND.14.8_1:IND.14.13_1
Jharkhand,,,Jharkhand,,,IND.15_1
Karnataka,,,Karnataka,,,IND.16_1
Kerala,,,Kerala,,,IND.17_1
Lakshadweep,,,Lakshadweep,,,IND.18_1
Madhya Pradesh,,,Madhya Pradesh,,,IND.19_1
Maharashtra,,,Maharashtra,,,IND.20_1
Manipur,,,Manipur,,,IND.21_1
Meghalaya,,,Meghalaya,,,IND.22_1
Mizoram,,,Mizoram,,,IND.23_1
Nagaland,,,Nagaland,,,IND.24_1
Delhi,,,NCT of Delhi,,,IND.25_1
Odisha,,,Odisha,,,IND.26_1
Puducherry,,,Puducherry,,,IND.27_1
Punjab,,,Punjab,,,IND.28_1
Rajasthan,,,Rajasthan,,,IND.29_1
Sikkim,,,Sikkim,,,IND.30_1
Tamil Nadu,,,Tamil Nadu,,,IND.31_1
Telangana,,,Telangana,,,IND.32_1
Tripura,,,Tripura,,,IND.33_1
Uttar Pradesh,,,Uttar Pradesh,,,IND.34_1
Uttarakhand,,,Uttarakhand,,,IND.35_1
West Bengal,,,West Bengal,,,IND.36_1
