countrycode,input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
IRL,Carlow,,,Carlow,,,IRL.1_1
IRL,Cavan,,,Cavan,,,IRL.2_1
IRL,Clare,,,Clare,,,IRL.3_1
IRL,Cork,,,Cork,,,IRL.4_1
IRL,Donegal,,,Donegal,,,IRL.5_1
IRL,Dublin,,,Dublin,,,IRL.6_1
IRL,Galway,,,Galway,,,IRL.7_1
IRL,Kerry,,,Kerry,,,IRL.8_1
IRL,Kildare,,,Kildare,,,IRL.9_1
IRL,Kilkenny,,,Kilkenny,,,IRL.10_1
IRL,Laois,,,Laoighis,,,IRL.11_1
IRL,Leitrim,,,Leitrim,,,IRL.12_1
IRL,Limerick,,,Limerick,,,IRL.13_1
IRL,Longford,,,Longford,,,IRL.14_1
IRL,Louth,,,Louth,,,IRL.15_1
IRL,Mayo,,,Mayo,,,IRL.16_1
IRL,Meath,,,Meath,,,IRL.17_1
IRL,Monaghan,,,Monaghan,,,IRL.18_1
IRL,Offaly,,,Offaly,,,IRL.19_1
IRL,Roscommon,,,Roscommon,,,IRL.20_1
IRL,Sligo,,,Sligo,,,IRL.21_1
IRL,Tipperary,,,Tipperary,,,IRL.22_1
IRL,Waterford,,,Waterford,,,IRL.23_1
IRL,Westmeath,,,Westmeath,,,IRL.24_1
IRL,Wexford,,,Wexford,,,IRL.25_1
IRL,Wicklow,,,Wicklow,,,IRL.26_1
