input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
Carlow,,,Carlow,,,IRL.1_1
Cavan,,,Cavan,,,IRL.2_1
Clare,,,Clare,,,IRL.3_1
Cork,,,Cork,,,IRL.4_1
Donegal,,,Donegal,,,IRL.5_1
Dublin,,,Dublin,,,IRL.6_1
Galway,,,Galway,,,IRL.7_1
Kerry,,,Kerry,,,IRL.8_1
Kildare,,,Kildare,,,IRL.9_1
Kilkenny,,,Kilkenny,,,IRL.10_1
Laois,,,Laoighis,,,IRL.11_1
Leitrim,,,Leitrim,,,IRL.12_1
Limerick,,,Limerick,,,IRL.13_1
Longford,,,Longford,,,IRL.14_1
Louth,,,Louth,,,IRL.15_1
Mayo,,,Mayo,,,IRL.16_1
Meath,,,Meath,,,IRL.17_1
Monaghan,,,Monaghan,,,IRL.18_1
Offaly,,,Offaly,,,IRL.19_1
Roscommon,,,Roscommon,,,IRL.20_1
Sligo,,,Sligo,,,IRL.21_1
Tipperary,,,Tipperary,,,IRL.22_1
Waterford,,,Waterford,,,IRL.23_1
Westmeath,,,Westmeath,,,IRL.24_1
Wexford,,,Wexford,,,IRL.25_1
Wicklow,,,Wicklow,,,IRL.26_1
