countrycode,input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
ITA,Abruzzo,,,Abruzzo,,,ITA.1_1
ITA,Puglia,,,Apulia,,,ITA.2_1
ITA,Basilicata,,,Basilicata,,,ITA.3_1
ITA,Calabria,,,Calabria,,,ITA.4_1
ITA,Campania,,,Campania,,,ITA.5_1
ITA,Emilia Romagna,,,Emilia-Romagna,,,ITA.6_1
ITA,Friuli V.G.,,,Friuli-Venezia Giulia,,,ITA.7_1
ITA,Lazio,,,Lazio,,,ITA.8_1
ITA,Liguria,,,Liguria,,,ITA.9_1
ITA,Lombardia,,,Lombardia,,,ITA.10_1
ITA,Marche,,,Marche,,,ITA.11_1
ITA,Molise,,,Molise,,,ITA.12_1
ITA,Piemonte,,,Piemonte,,,ITA.13_1
ITA,Sardegna,,,Sardegna,,,ITA.14_1
ITA,Sicilia,,,Sicily,,,ITA.15_1
ITA,Toscana,,,Toscana,,,ITA.16_1
ITA,Bolzano,,,Bolzano,,,ITA.17.1_1
ITA,Trento,,,Trento,,,ITA.17.2_1
ITA,Umbria,,,Umbria,,,ITA.18_1
ITA,Valle d'Aosta,,,Valle d'Aosta,,,ITA.19_1
ITA,Veneto,,,Veneto,,,ITA.20_1
