countrycode,input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
JPN,Aichi,,,Aichi,,,JPN.1_1
JPN,Akita,,,Akita,,,JPN.2_1
JPN,Aomori,,,Aomori,,,JPN.3_1
JPN,Chiba,,,Chiba,,,JPN.4_1
JPN,Ehime,,,Ehime,,,JPN.5_1
JPN,Eihime,,,Ehime,,,JPN.5_1
JPN,Fukui,,,Fukui,,,JPN.6_1
JPN,Fukuoka,,,Fukuoka,,,JPN.7_1
JPN,Fukushima,,,Fukushima,,,JPN.8_1
JPN,Gifu,,,Gifu,,,JPN.9_1
JPN,Gunma,,,Gunma,,,JPN.10_1
JPN,Hiroshima,,,Hiroshima,,,JPN.11_1
JPN,Hokkaido,,,Hokkaido,,,JPN.12_1
JPN,Hyogo,,,Hyōgo,,,JPN.13_1
JPN,Ibaraki,,,Ibaraki,,,JPN.14_1
JPN,Ishikawa,,,Ishikawa,,,JPN.15_1
JPN,Iwate,,,Iwate,,,JPN.16_1
JPN,Kagawa,,,Kagawa,,,JPN.17_1
JPN,Kagoshima,,,Kagoshima,,,JPN.18_1
JPN,Kanagawa,,,Kanagawa,,,JPN.19_1
JPN,Kochi,,,Kochi,,,JPN.20_1
JPN,Kumamoto,,,Kumamoto,,,JPN.21_1
JPN,Kyoto,,,Kyoto,,,JPN.22_1
JPN,Mie,,,Mie,,,JPN.23_1
JPN,Miyagi,,,Miyagi,,,JPN.24_1
JPN,Miyazaki,,,Miyazaki,,,JPN.25_1
JPN,Nagano,,,Nagano,,,JPN.26_1
JPN,Nagasaki,,,Naoasaki,,,JPN.27_1
JPN,Nara,,,Nara,,,JPN.28_1
JPN,Niigata,,,Niigata,,,JPN.29_1
JPN,Oita,,,Oita,,,JPN.30_1
JPN,Okayama,,,Okayama,,,JPN.31_1
JPN,Okinawa,,,Okinawa,,,JPN.32_1
JPN,Osaka,,,Osaka,,,JPN.33_1
JPN,Saga,,,Saga,,,JPN.34_1
JPN,Saitama,,,Saitama,,,JPN.35_1
JPN,Shiga,,,Shiga,,,JPN.36_1
JPN,Shimane,,,Shimane,,,JPN.37_1
JPN,Shizuoka,,,Shizuoka,,,JPN.38_1
JPN,Tochigi,,,Tochigi,,,JPN.39_1
JPN,Tokushima,,,Tokushima,,,JPN.40_1
JPN,Tokyo,,,Tokyo,,,JPN.41_1
JPN,Tottori,,,Tottori,,,JPN.42_1
JPN,Toyama,,,Toyama,,,JPN.43_1
JPN,Wakayama,,,Wakayama,,,JPN.44_1
JPN,Yamagata,,,Yamagata,,,JPN.45_1
JPN,Yamaguchi,,,Yamaguchi,,,JPN.46_1
JPN,Yamanashi,,,Yamanashi,,,JPN.47_1
