input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
Busan,,,Busan,,,KOR.1_1
Chungcheongbuk-do,,,Chungcheongbuk-do,,,KOR.2_1
Chungcheongnam-do,,,Chungcheongnam-do,,,KOR.3_1
Daegu,,,Daegu,,,KOR.4_1
Daejeon,,,Daejeon,,,KOR.5_1
Gangwon-do,,,Gangwon-do,,,KOR.6_1
Gwangju,,,Gwangju,,,KOR.7_1
Gyeonggi-do,,,Gyeonggi-do,,,KOR.8_1
Gyeongsangbuk-do,,,Gyeongsangbuk-do,,,KOR.9_1
Gyeongsangnam-do,,,Gyeongsangnam-do,,,KOR.10_1
Incheon,,,Incheon,,,KOR.11_1
Jeju-do,,,Jeju,,,KOR.12_1
Jeollabuk-do,,,Jeollabuk-do,,,KOR.13_1
Jeollanam-do,,,Jeollanam-do,,,KOR.14_1
Sejong,,,Sejong,,,KOR.15_1
Seoul,,,Seoul,,,KOR.16_1
Ulsan,,,Ulsan,,,KOR.17_1
