countrycode,input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
ARG,Buenos Aires,,,Buenos Aires,,,ARG.1_1
ARG,Catamarca,,,Catamarca,,,ARG.2_1
ARG,Chaco,,,Chaco,,,ARG.3_1
ARG,Chubut,,,Chubut,,,ARG.4_1
ARG,Ciudad Autonoma de Buenos Aires,,,Ciudad de Buenos Aires,,,ARG.5_1
ARG,Cordoba,,,Córdoba,,,ARG.6_1
ARG,Corrientes,,,Corrientes,,,ARG.7_1
ARG,Entre Rios,,,Entre Ríos,,,ARG.8_1
ARG,Formosa,,,Formosa,,,ARG.9_1
ARG,Jujuy,,,Jujuy,,,ARG.10_1
ARG,La Pampa,,,La Pampa,,,ARG.11_1
ARG,La Rioja,,,La Rioja,,,ARG.12_1
ARG,Mendoza,,,Mendoza,,,ARG.13_1
ARG,Misiones,,,Misiones,,,ARG.14_1
ARG,Neuquen,,,Neuquén,,,ARG.15_1
ARG,Rio Negro,,,Río Negro,,,ARG.16_1
ARG,Salta,,,Salta,,,ARG.17_1
ARG,San Juan,,,San Juan,,,ARG.18_1
ARG,San Luis,,,San Luis,,,ARG.19_1
ARG,Santa Cruz,,,Santa Cruz,,,ARG.20_1
ARG,Santa Fe,,,Santa Fe,,,ARG.21_1
ARG,Santiago del Estero,,,Santiago del Estero,,,ARG.22_1
ARG,Tierra del Fuego,,,Tierra del Fuego,,,ARG.23_1
ARG,Tucuman,,,Tucumán,,,ARG.24_1
BRA,Acre,,,Acre,,,BRA.1_1
BRA,Alagoas,,,Alagoas,,,BRA.2_1
BRA,Amapa,,,Amapá,,,BRA.3_1
BRA,Amazonas,,,Amazonas,,,BRA.4_1
BRA,Bahia,,,Bahia,,,BRA.5_1
BRA,Ceara,,,Ceará,,,BRA.6_1
BRA,Distrito Federal,,,Distrito Federal,,,BRA.7_1
BRA,Espiritu Santo,,,Espírito Santo,,,BRA.8_1
BRA,Goias,,,Goiás,,,BRA.9_1
BRA,Maranhao,,,Maranhão,,,BRA.10_1
BRA,Mato Grosso,,,Mato Grosso,,,BRA.12_1
BRA,Mato Grosso do Sul,,,Mato Grosso do Sul,,,BRA.11_1
BRA,Minas Gerais,,,Minas Gerais,,,BRA.13_1
BRA,Para,,,Pará,,,BRA.14_1
BRA,Paraiba,,,Paraíba,,,BRA.15_1
BRA,Parana,,,Paraná,,,BRA.16_1
BRA,Pernambuco,,,Pernambuco,,,BRA.17_1
BRA,Piaui,,,Piauí,,,BRA.18_1
BRA,Rio de Janeiro,,,Rio de Janeiro,,,BRA.19_1
BRA,Rio Grande do Norte,,,Rio Grande do Norte,,,BRA.20_1
BRA,Rio Grande do Sul,,,Rio Grande do Sul,,,BRA.21_1
BRA,Rondonia,,,Rondônia,,,BRA.22_1
BRA,Roraima,,,Roraima,,,BRA.23_1
BRA,Santa Catarina,,,Santa Catarina,,,BRA.24_1
BRA,Sao Paulo,,,São Paulo,,,BRA.25_1
BRA,Sergipe,,,Sergipe,,,BRA.26_1
BRA,Tocantins,,,Tocantins,,,BRA.27_1
CHL,Aysen,,,Aisén del General Carlos Ibáñez del Campo,,,CHL.1_1
CHL,Antofagasta,,,Antofagasta,,,CHL.2_1
CHL,Araucania,,,Araucanía,,,CHL.3_1
CHL,Arica y Parinacota,,,Arica y Parinacota,,,CHL.4_1
CHL,Atacama,,,Atacama,,,CHL.5_1
CHL,Biobio,,,Bío-Bío,,,CHL.6_1
CHL,Coquimbo,,,Coquimbo,,,CHL.7_1
CHL,O'Higgins,,,Libertador General Bernardo O'Higgins,,,CHL.8_1
CHL,Los Lagos,,,Los Lagos,,,CHL.9_1
CHL,Los Rios,,,Los Ríos,,,CHL.10_1
