input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
Abia,,,Abia,,,NGA.1_1
Adamawa,,,Adamawa,,,NGA.2_1
AkwaIbom,,,Akwa Ibom,,,NGA.3_1
Akwa Ibom,,,Akwa Ibom,,,NGA.3_1
Anambra,,,Anambra,,,NGA.4_1
Bauchi,,,Bauchi,,,NGA.5_1
Bayelsa,,,Bayelsa,,,NGA.6_1
Benue,,,Benue,,,NGA.7_1
Borno,,,Borno,,,NGA.8_1
Cross River,,,Cross River,,,NGA.9_1
Delta,,,Delta,,,NGA.10_1
Ebonyi,,,Ebonyi,,,NGA.11_1
Edo,,,Edo,,,NGA.12_1
Ekiti,,,Ekiti,,,NGA.13_1
Enugu,,,Enugu,,,NGA.14_1
FCT,,,Federal Capital Territory,,,NGA.15_1
Federal Capital Territory,,,Federal Capital Territory,,,NGA.15_1
Gombe,,,Gombe,,,NGA.16_1
Imo,,,Imo,,,NGA.17_1
Jigawa,,,Jigawa,,,NGA.18_1
Kaduna,,,Kaduna,,,NGA.19_1
Kano,,,Kano,,,NGA.20_1
Katsina,,,Katsina,,,NGA.21_1
Kebbi,,,Kebbi,,,NGA.22_1
Kogi,,,Kogi,,,NGA.23_1
Kwara,,,Kwara,,,NGA.24_1
Lagos,,,Lagos,,,NGA.25_1
Nasarawa,,,Nassarawa,,,NGA.26_1
Nassarawa,,,Nassarawa,,,NGA.26_1
Niger,,,Niger,,,NGA.27_1
Ogun,,,Ogun,,,NGA.28_1
Ondo,,,Ondo,,,NGA.29_1
Osun,,,Osun,,,NGA.30_1
Oyo,,,Oyo,,,NGA.31_1
Plateau,,,Plateau,,,NGA.32_1
Rivers,,,Rivers,,,NGA.33_1
Sokoto,,,Sokoto,,,NGA.34_1
Taraba,,,Taraba,,,NGA.35_1
Yobe,,,Yobe,,,NGA.36_1
Zamfara,,,Zamfara,,,NGA.37_1
