input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
RU-MOS,,,Moskva,,,RUS.44_1
RU-NIZ,,,Nizhegorod,,,RUS.47_1
RU-DA,,,Dagestan,,,RUS.15_1
RU-SVE,,,Sverdlovsk,,,RUS.66_1
RU-KDA,,,Krasnodar,,,RUS.34_1
RU-ROS,,,Rostov,,,RUS.58_1
RU-KLU,,,Kaluga,,,RUS.23_1
RU-TUL,,,Tula,,,RUS.70_1
RU-KYA,,,Krasnoyarsk,,,RUS.35_1
RU-MUR,,,Murmansk,,,RUS.45_1
RU-RYA,,,Ryazan',,,RUS.59_1
RU-BRY,,,Bryansk,,,RUS.8_1
RU-TT,,,Tatarstan,,,RUS.68_1
RU-BA,,,Bashkortostan,,,RUS.6_1
RU-LEN,,,Leningrad,,,RUS.38_1
RU-KRS,,,Kursk,,,RUS.37_1
RU-TAM,,,Tambov,,,RUS.67_1
RU-YAR,,,Yaroslavl',,,RUS.81_1
RU-SAR,,,Saratov,,,RUS.63_1
RU-VLA,,,Vladimir,,,RUS.76_1
RU-KB,,,Kabardin-Balkar,,,RUS.20_1
RU-VGG,,,Volgograd,,,RUS.77_1
RU-NVS,,,Novosibirsk,,,RUS.50_1
RU-SAM,,,Samara,,,RUS.62_1
RU-STA,,,Stavropol',,,RUS.65_1
RU-ORL,,,Orel,,,RUS.52_1
RU-ULY,,,Ul'yanovsk,,,RUS.75_1
RU-MO,,,Mordovia,,,RUS.42_1
RU-BEL,,,Belgorod,,,RUS.7_1
RU-PRI,,,Primor'ye,,,RUS.56_1
RU-KHA,,,Khabarovsk,,,RUS.28_1
RU-LIP,,,Lipetsk,,,RUS.39_1
RU-ORE,,,Orenburg,,,RUS.53_1
RU-SMO,,,Smolensk,,,RUS.64_1
RU-IVA,,,Ivanovo,,,RUS.19_1
RU-PNZ,,,Penza,,,RUS.54_1
RU-ME,,,Mariy-El,,,RUS.41_1
RU-VOR,,,Voronezh,,,RUS.79_1
RU-TYU,,,Tyumen',,,RUS.73_1
RU-TVE,,,Tver',,,RUS.72_1
RU-AST,,,Astrakhan',,,RUS.5_1
RU-ALT,,,Altay,,,RUS.2_1
RU-KIR,,,Kirov,,,RUS.31_1
RU-KGD,,,Kaliningrad,,,RUS.21_1
RU-BU,,,Buryat,,,RUS.9_1
RU-KO,,,Komi,,,RUS.32_1
RU-ARK,,,Arkhangel'sk,,,RUS.4_1
RU-IRK,,,Irkutsk,,,RUS.18_1
RU-KL,,,Kalmyk,,,RUS.22_1
RU-OMS,,,Omsk,,,RUS.51_1
RU-NGR,,,Novgorod,,,RUS.49_1
RU-KK,,,Khakass,,,RUS.29_1
RU-ZAB,,,Zabaykal'ye,,,RUS.83_1
RU-AD,,,Adygey,,,RUS.1_1
RU-VLG,,,Vologda,,,RUS.78_1
RU-KOS,,,Kostroma,,,RUS.33_1
RU-PSK,,,Pskov,,,RUS.57_1
RU-UD,,,Udmurt,,,RUS.74_1
RU-TY,,,Tuva,,,RUS.71_1
RU-TOM,,,Tomsk,,,RUS.69_1
RU-KEM,,,Kemerovo,,,RUS.27_1
RU-AMU,,,Amur,,,RUS.3_1
RU-KR,,,Karelia,,,RUS.26_1
RU-MAG,,,Maga Buryatdan,,,RUS.40_1
RU-KGN,,,Kurgan,,,RUS.36_1
RU-GA,,,Gorno-Altay,,,RUS.16_1
RU-SAK,,,Sakhalin,,,RUS.61_1
RU-CE,,,Chechnya,,,RUS.10_1
RU-CHE,,,Chelyabinsk,,,RUS.11_1
RU-CHU,,,Chukot,,,RUS.12_1
RU-CU,,,Chuvash,,,RUS.13_1
RU-SPE,,,City of St. Petersburg,,,RUS.14_1
RU-IN,,,Ingush,,,RUS.17_1
RU-KAM,,,Kamchatka,,,RUS.24_1
RU-KC,,,Karachay-Cherkess,,,RUS.25_1
RU-KHM,,,Khanty-Mansiy,,,RUS.30_1
RU-MOW,,,Moscow City,,,RUS.43_1
RU-NEN,,,Nenets,,,RUS.46_1
RU-SE,,,North Ossetia,,,RUS.48_1
RU-PER,,,Perm',,,RUS.55_1
RU-SA,,,Sakha,,,RUS.60_1
RU-YAN,,,Yamal-Nenets,,,RUS.80_1
RU-YEV,,,Yevrey,,,RUS.82_1
RU-CR,,,Crimea,,,UKR_4.1
RU-SEV,,,Sevastopol',,,UKR_20.1
