countrycode, input_adm_area_1, input_adm_area_2, input_adm_area_3, adm_area_1, adm_area_2, adm_area_3, gid
SAU,الحدود الشماليه,,,Al Hudud ash Shamaliyah,,,SAU.3_1
SAU,حائل,,,Ha'il,,,SAU.9_1
SAU,القصيم,,,Al Quassim,,,SAU.6_1
SAU,المنطقة الشرقية,,,Ash Sharqiyah,,,SAU.8_1
SAU,مكة المكرمة,,,Makkah,,,SAU.11_1
SAU,جازان,,,Jizan,,,SAU.10_1
SAU,نجران,,,Najran,,,SAU.12_1
SAU,الرياض,,,Ar Riyad,,,SAU.7_1
SAU,عسير,,,`Asir,,,SAU.1_1
SAU,الجوف,,,Al Jawf,,,SAU.4_1
SAU,تبوك,,,Tabuk,,,SAU.13_1
SAU,المدينة المنورة,,,Al Madinah,,,SAU.5_1
SAU,الباحة,,,Al Bahah,,,SAU.2_1
