countrycode,input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
SWE,Region Blekinge,,,Blekinge,,,SWE.1_1
SWE,Region Dalarna,,,Dalarna,,,SWE.2_1
SWE,Region Gävleborg,,,Gävleborg,,,SWE.3_1
SWE,Region Gotland,,,Gotland,,,SWE.4_1
SWE,Region Halland,,,Halland,,,SWE.5_1
SWE,Region Jämtland Härjedalen,,,Jämtland,,,SWE.6_1
SWE,Region Jönköpings län,,,Jönköping,,,SWE.7_1
SWE,Region Kalmar län,,,Kalmar,,,SWE.8_1
SWE,Region Kronoberg,,,Kronoberg,,,SWE.9_1
SWE,Region Norrbotten,,,Norrbotten,,,SWE.10_1
SWE,Region Örebro län,,,Orebro,,,SWE.11_1
SWE,Region Östergötland,,,Östergötland,,,SWE.12_1
SWE,Region Skåne,,,Skåne,,,SWE.13_1
SWE,Region Sörmland,,,Södermanland,,,SWE.14_1
SWE,Region Stockholm,,,Stockholm,,,SWE.15_1
SWE,Region Uppsala,,,Uppsala,,,SWE.16_1
SWE,Region Värmland,,,Värmland,,,SWE.17_1
SWE,Region Västerbotten,,,Västerbotten,,,SWE.18_1
SWE,Region Västernorrland,,,Västernorrland,,,SWE.19_1
SWE,Region Västmanland,,,Västmanland,,,SWE.20_1
SWE,Västra Götalandsregionen,,,Västra Götaland,,,SWE.21_1
