input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
อำนาจเจริญ,,,Amnat Charoen,,,THA.1_1
อ่างทอง,,,Ang Thong,,,THA.2_1
กรุงเทพมหานคร,,,Bangkok Metropolis,,,THA.3_1
บึงกาฬ,,,Bueng Kan,,,THA.4_1
บุรีรัมย์,,,Buri Ram,,,THA.5_1
ฉะเชิงเทรา,,,Chachoengsao,,,THA.6_1
ชัยนาท ,,,Chai Nat,,,THA.7_1
ชัยภูมิ ,,,Chaiyaphum,,,THA.8_1
จันทบุรี ,,,Chanthaburi,,,THA.9_1
เชียงใหม่ ,,,Chiang Mai,,,THA.10_1
เชียงราย ,,,Chiang Rai,,,THA.11_1
ชลบุรี ,,,Chon Buri,,,THA.12_1
ชุมพร ,,,Chumphon,,,THA.13_1
กาฬสินธุ์ ,,,Kalasin,,,THA.14_1
กำแพงเพชร ,,,Kamphaeng Phet,,,THA.15_1
กาญจนบุรี ,,,Kanchanaburi,,,THA.16_1
ขอนแก่น ,,,Khon Kaen,,,THA.17_1
กระบี่ ,,,Krabi,,,THA.18_1
ลำปาง ,,,Lampang,,,THA.19_1
ลำพูน ,,,Lamphun,,,THA.20_1
เลย ,,,Loei,,,THA.21_1
ลพบุรี ,,,Lop Buri,,,THA.22_1
แม่ฮ่องสอน ,,,Mae Hong Son,,,THA.23_1
มหาสารคาม ,,,Maha Sarakham,,,THA.24_1
มุกดาหาร ,,,Mukdahan,,,THA.25_1
นครนายก ,,,Nakhon Nayok,,,THA.26_1
นครปฐม ,,,Nakhon Pathom,,,THA.27_1
นครพนม ,,,Nakhon Phanom,,,THA.28_1
นครราชสีมา ,,,Nakhon Ratchasima,,,THA.29_1
นครสวรรค์ ,,,Nakhon Sawan,,,THA.30_1
นครศรีธรรมราช ,,,Nakhon Si Thammarat,,,THA.31_1
น่าน ,,,Nan,,,THA.32_1
นราธิวาส ,,,Narathiwat,,,THA.33_1
หนองบัวลำภู ,,,Nong Bua Lam Phu,,,THA.34_1
หนองคาย ,,,Nong Khai,,,THA.35_1
นนทบุรี ,,,Nonthaburi,,,THA.36_1
ปทุมธานี ,,,Pathum Thani,,,THA.37_1
ปัตตานี ,,,Pattani,,,THA.38_1
พังงา ,,,Phangnga,,,THA.39_1
พัทลุง ,,,Phatthalung,,,THA.40_1
พะเยา ,,,Phayao,,,THA.41_1
เพชรบูรณ์ ,,,Phetchabun,,,THA.42_1
เพชรบุรี ,,,Phetchaburi,,,THA.43_1
พิจิตร ,,,Phichit,,,THA.44_1
พิษณุโลก ,,,Phitsanulok,,,THA.45_1
พระนครศรีอยุธยา ,,,Phra Nakhon Si Ayutthaya,,,THA.46_1
แพร่ ,,,Phrae,,,THA.47_1
ภูเก็ต ,,,Phuket,,,THA.48_1
ปราจีนบุรี ,,,Prachin Buri,,,THA.49_1
ประจวบคีรีขันธ์ ,,,Prachuap Khiri Khan,,,THA.50_1
ระนอง ,,,Ranong,,,THA.51_1
ราชบุรี ,,,Ratchaburi,,,THA.52_1
ระยอง ,,,Rayong,,,THA.53_1
ร้อยเอ็ด ,,,Roi Et,,,THA.54_1
สระแก้ว ,,,Sa Kaeo,,,THA.55_1
สกลนคร ,,,Sakon Nakhon,,,THA.56_1
สมุทรปราการ ,,,Samut Prakan,,,THA.57_1
สมุทรสาคร ,,,Samut Sakhon,,,THA.58_1
สมุทรสงคราม ,,,Samut Songkhram,,,THA.59_1
สระบุรี ,,,Saraburi,,,THA.60_1
สตูล ,,,Satun,,,THA.61_1
ศรีสะเกษ ,,,Si Sa Ket,,,THA.62_1
สิงห์บุรี ,,,Sing Buri,,,THA.63_1
สงขลา ,,,Songkhla,,,THA.64_1
สุโขทัย ,,,Sukhothai,,,THA.65_1
สุพรรณบุรี ,,,Suphan Buri,,,THA.66_1
สุราษฎร์ธานี ,,,Surat Thani,,,THA.67_1
สุรินทร์ ,,,Surin,,,THA.68_1
ตาก ,,,Tak,,,THA.69_1
ตรัง ,,,Trang,,,THA.70_1
ตราด ,,,Trat,,,THA.71_1
อุบลราชธานี ,,,Ubon Ratchathani,,,THA.72_1
อุดรธานี ,,,Udon Thani,,,THA.73_1
อุทัยธานี ,,,Uthai Thani,,,THA.74_1
อุตรดิตถ์ ,,,Uttaradit,,,THA.75_1
ยะลา ,,,Yala,,,THA.76_1
ยโสธร ,,,Yasothon,,,THA.77_1
ไม่ระบุ,,,Unknown,,,
