input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
Amnat Charoen,,,Amnat Charoen,,,THA.1_1
Ang Thong,,,Ang Thong,,,THA.2_1
Bangkok,,,Bangkok Metropolis,,,THA.3_1
Bueng Kan,,,Bueng Kan,,,THA.4_1
Buriram,,,Buri Ram,,,THA.5_1
Chachoengsao,,,Chachoengsao,,,THA.6_1
Chai Nat,,,Chai Nat,,,THA.7_1
Chaiyaphum,,,Chaiyaphum,,,THA.8_1
Chanthaburi,,,Chanthaburi,,,THA.9_1
Chiang Mai,,,Chiang Mai,,,THA.10_1
Chiang Rai,,,Chiang Rai,,,THA.11_1
Chonburi,,,Chon Buri,,,THA.12_1
Chumphon,,,Chumphon,,,THA.13_1
Kalasin,,,Kalasin,,,THA.14_1
Kamphaeng Phet,,,Kamphaeng Phet,,,THA.15_1
Kanchanaburi,,,Kanchanaburi,,,THA.16_1
Khon Kaen,,,Khon Kaen,,,THA.17_1
Krabi,,,Krabi,,,THA.18_1
Lampang,,,Lampang,,,THA.19_1
Lamphun,,,Lamphun,,,THA.20_1
Loei,,,Loei,,,THA.21_1
Lopburi,,,Lop Buri,,,THA.22_1
Mae Hong Son,,,Mae Hong Son,,,THA.23_1
Maha Sarakham,,,Maha Sarakham,,,THA.24_1
Mukdahan,,,Mukdahan,,,THA.25_1
Nakhon Nayok,,,Nakhon Nayok,,,THA.26_1
Nakhon Pathom,,,Nakhon Pathom,,,THA.27_1
Nakhon Phanom,,,Nakhon Phanom,,,THA.28_1
Nakhon Ratchasima,,,Nakhon Ratchasima,,,THA.29_1
Nakhon Sawan,,,Nakhon Sawan,,,THA.30_1
Nakhon Si Thammarat,,,Nakhon Si Thammarat,,,THA.31_1
Nan,,,Nan,,,THA.32_1
Narathiwat,,,Narathiwat,,,THA.33_1
Nong Bua Lamphu,,,Nong Bua Lam Phu,,,THA.34_1
Nong Khai,,,Nong Khai,,,THA.35_1
Nonthaburi,,,Nonthaburi,,,THA.36_1
Pathum Thani,,,Pathum Thani,,,THA.37_1
Pattani,,,Pattani,,,THA.38_1
Phang Nga,,,Phangnga,,,THA.39_1
Phatthalung,,,Phatthalung,,,THA.40_1
Phayao,,,Phayao,,,THA.41_1
Phetchabun,,,Phetchabun,,,THA.42_1
Phetchaburi,,,Phetchaburi,,,THA.43_1
Phichit,,,Phichit,,,THA.44_1
Phitsanulok,,,Phitsanulok,,,THA.45_1
Phra Nakhon Si Ayutthaya,,,Phra Nakhon Si Ayutthaya,,,THA.46_1
Phrae,,,Phrae,,,THA.47_1
Phuket,,,Phuket,,,THA.48_1
Prachinburi,,,Prachin Buri,,,THA.49_1
Prachuap Khiri Khan,,,Prachuap Khiri Khan,,,THA.50_1
Ranong,,,Ranong,,,THA.51_1
Ratchaburi,,,Ratchaburi,,,THA.52_1
Rayong,,,Rayong,,,THA.53_1
Roi Et,,,Roi Et,,,THA.54_1
Sa Kaeo,,,Sa Kaeo,,,THA.55_1
Sakon Nakhon,,,Sakon Nakhon,,,THA.56_1
Samut Prakan,,,Samut Prakan,,,THA.57_1
Samut Sakhon,,,Samut Sakhon,,,THA.58_1
Samut Songkhram,,,Samut Songkhram,,,THA.59_1
Saraburi,,,Saraburi,,,THA.60_1
Satun,,,Satun,,,THA.61_1
Sisaket,,,Si Sa Ket,,,THA.62_1
Sing Buri,,,Sing Buri,,,THA.63_1
Songkhla,,,Songkhla,,,THA.64_1
Sukhothai,,,Sukhothai,,,THA.65_1
Suphan Buri,,,Suphan Buri,,,THA.66_1
Surat Thani,,,Surat Thani,,,THA.67_1
Surin,,,Surin,,,THA.68_1
Tak,,,Tak,,,THA.69_1
Trang,,,Trang,,,THA.70_1
Trat,,,Trat,,,THA.71_1
Ubon Ratchathani,,,Ubon Ratchathani,,,THA.72_1
Udon Thani,,,Udon Thani,,,THA.73_1
Uthai Thani,,,Uthai Thani,,,THA.74_1
Uttaradit,,,Uttaradit,,,THA.75_1
Yala,,,Yala,,,THA.76_1
Yasothon,,,Yasothon,,,THA.77_1
