countrycode,input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
USA,New York,New York City,,New York,New York City,,USA.33.3_1:USA.33.24_1:USA.33.32_1:USA.33.42_1:USA.33.44_1
USA,Guam,,,Guam,,,GUM
USA,Northern Mariana Islands,,,Northern Mariana Islands,,,MNP
USA,Puerto Rico,,,Puerto Rico,,,PRI
USA,Virgin Islands,,,Virgin Islands,,,VIR
USA,Alaska,Ketchikan Gateway Borough,,Alaska,Ketchikan Gateway,,USA.2.12_1
USA,Alaska,Petersburg Borough,,Alaska,Wrangell-Petersburg,,USA.2.25_1
USA,Alaska,Prince of Wales-Hyder Census Area,,Alaska,Prince of Wales-Outer Ketchi,,USA.2.19_1
USA,Virginia,Bedford,,Virginia,Bedford,,USA.47.11_1:USA.47.12_1
USA,Alabama,,,Alabama,,,USA.1_1
USA,Alaska,,,Alaska,,,USA.2_1
USA,Arizona,,,Arizona,,,USA.3_1
USA,Arkansas,,,Arkansas,,,USA.4_1
USA,California,,,California,,,USA.5_1
USA,Colorado,,,Colorado,,,USA.6_1
USA,Connecticut,,,Connecticut,,,USA.7_1
USA,Delaware,,,Delaware,,,USA.8_1
USA,District of Columbia,,,District of Columbia,,,USA.9_1
USA,Florida,,,Florida,,,USA.10_1
USA,Georgia,,,Georgia,,,USA.11_1
USA,Hawaii,,,Hawaii,,,USA.12_1
USA,Idaho,,,Idaho,,,USA.13_1
USA,Illinois,,,Illinois,,,USA.14_1
USA,Indiana,,,Indiana,,,USA.15_1
USA,Iowa,,,Iowa,,,USA.16_1
USA,Kansas,,,Kansas,,,USA.17_1
USA,Kentucky,,,Kentucky,,,USA.18_1
USA,Louisiana,,,Louisiana,,,USA.19_1
USA,Maine,,,Maine,,,USA.20_1
USA,Maryland,,,Maryland,,,USA.21_1
USA,Massachusetts,,,Massachusetts,,,USA.22_1
USA,Michigan,,,Michigan,,,USA.23_1
USA,Minnesota,,,Minnesota,,,USA.24_1
USA,Mississippi,,,Mississippi,,,USA.25_1
USA,Missouri,,,Missouri,,,USA.26_1
USA,Montana,,,Montana,,,USA.27_1
USA,Nebraska,,,Nebraska,,,USA.28_1
USA,Nevada,,,Nevada,,,USA.29_1
USA,New Hampshire,,,New Hampshire,,,USA.30_1
USA,New Jersey,,,New Jersey,,,USA.31_1
USA,New Mexico,,,New Mexico,,,USA.32_1
USA,New York,,,New York,,,USA.33_1
USA,North Carolina,,,North Carolina,,,USA.34_1
USA,North Dakota,,,North Dakota,,,USA.35_1
USA,Ohio,,,Ohio,,,USA.36_1
USA,Oklahoma,,,Oklahoma,,,USA.37_1
USA,Oregon,,,Oregon,,,USA.38_1
USA,Pennsylvania,,,Pennsylvania,,,USA.39_1
USA,Rhode Island,,,Rhode Island,,,USA.40_1
USA,South Carolina,,,South Carolina,,,USA.41_1
USA,South Dakota,,,South Dakota,,,USA.42_1
USA,Tennessee,,,Tennessee,,,USA.43_1
USA,Texas,,,Texas,,,USA.44_1
USA,Utah,,,Utah,,,USA.45_1
USA,Vermont,,,Vermont,,,USA.46_1
USA,Virginia,,,Virginia,,,USA.47_1
USA,Washington,,,Washington,,,USA.48_1
USA,West Virginia,,,West Virginia,,,USA.49_1
USA,Wisconsin,,,Wisconsin,,,USA.50_1
USA,Wyoming,,,Wyoming,,,USA.51_1
USA,Alabama,Autauga,,Alabama,Autauga,,USA.1.1_1
USA,Alabama,Baldwin,,Alabama,Baldwin,,USA.1.2_1
USA,Alabama,Barbour,,Alabama,Barbour,,USA.1.3_1
USA,Alabama,Bibb,,Alabama,Bibb,,USA.1.4_1
USA,Alabama,Blount,,Alabama,Blount,,USA.1.5_1
USA,Alabama,Bullock,,Alabama,Bullock,,USA.1.6_1
USA,Alabama,Butler,,Alabama,Butler,,USA.1.7_1
USA,Alabama,Calhoun,,Alabama,Calhoun,,USA.1.8_1
USA,Alabama,Chambers,,Alabama,Chambers,,USA.1.9_1
USA,Alabama,Cherokee,,Alabama,Cherokee,,USA.1.10_1
USA,Alabama,Chilton,,Alabama,Chilton,,USA.1.11_1
USA,Alabama,Choctaw,,Alabama,Choctaw,,USA.1.12_1
USA,Alabama,Clarke,,Alabama,Clarke,,USA.1.13_1
USA,Alabama,Clay,,Alabama,Clay,,USA.1.14_1
USA,Alabama,Cleburne,,Alabama,Cleburne,,USA.1.15_1
USA,Alabama,Coffee,,Alabama,Coffee,,USA.1.16_1
USA,Alabama,Colbert,,Alabama,Colbert,,USA.1.17_1
USA,Alabama,Conecuh,,Alabama,Conecuh,,USA.1.18_1
USA,Alabama,Coosa,,Alabama,Coosa,,USA.1.19_1
USA,Alabama,Covington,,Alabama,Covington,,USA.1.20_1
USA,Alabama,Crenshaw,,Alabama,Crenshaw,,USA.1.21_1
USA,Alabama,Cullman,,Alabama,Cullman,,USA.1.22_1
USA,Alabama,Dale,,Alabama,Dale,,USA.1.23_1
USA,Alabama,Dallas,,Alabama,Dallas,,USA.1.24_1
USA,Alabama,DeKalb,,Alabama,De Kalb,,USA.1.25_1
USA,Alabama,Elmore,,Alabama,Elmore,,USA.1.26_1
USA,Alabama,Escambia,,Alabama,Escambia,,USA.1.27_1
USA,Alabama,Etowah,,Alabama,Etowah,,USA.1.28_1
USA,Alabama,Fayette,,Alabama,Fayette,,USA.1.29_1
USA,Alabama,Franklin,,Alabama,Franklin,,USA.1.30_1
USA,Alabama,Geneva,,Alabama,Geneva,,USA.1.31_1
USA,Alabama,Greene,,Alabama,Greene,,USA.1.32_1
USA,Alabama,Hale,,Alabama,Hale,,USA.1.33_1
USA,Alabama,Henry,,Alabama,Henry,,USA.1.34_1
USA,Alabama,Houston,,Alabama,Houston,,USA.1.35_1
USA,Alabama,Jackson,,Alabama,Jackson,,USA.1.36_1
USA,Alabama,Jefferson,,Alabama,Jefferson,,USA.1.37_1
USA,Alabama,Lamar,,Alabama,Lamar,,USA.1.38_1
USA,Alabama,Lauderdale,,Alabama,Lauderdale,,USA.1.39_1
USA,Alabama,Lawrence,,Alabama,Lawrence,,USA.1.40_1
USA,Alabama,Lee,,Alabama,Lee,,USA.1.41_1
USA,Alabama,Limestone,,Alabama,Limestone,,USA.1.42_1
USA,Alabama,Lowndes,,Alabama,Lowndes,,USA.1.43_1
USA,Alabama,Macon,,Alabama,Macon,,USA.1.44_1
USA,Alabama,Madison,,Alabama,Madison,,USA.1.45_1
USA,Alabama,Marengo,,Alabama,Marengo,,USA.1.46_1
USA,Alabama,Marion,,Alabama,Marion,,USA.1.47_1
USA,Alabama,Marshall,,Alabama,Marshall,,USA.1.48_1
USA,Alabama,Mobile,,Alabama,Mobile,,USA.1.49_1
USA,Alabama,Monroe,,Alabama,Monroe,,USA.1.50_1
USA,Alabama,Montgomery,,Alabama,Montgomery,,USA.1.51_1
USA,Alabama,Morgan,,Alabama,Morgan,,USA.1.52_1
USA,Alabama,Perry,,Alabama,Perry,,USA.1.53_1
USA,Alabama,Pickens,,Alabama,Pickens,,USA.1.54_1
USA,Alabama,Pike,,Alabama,Pike,,USA.1.55_1
USA,Alabama,Randolph,,Alabama,Randolph,,USA.1.56_1
USA,Alabama,Russell,,Alabama,Russell,,USA.1.57_1
USA,Alabama,Shelby,,Alabama,Shelby,,USA.1.59_1
USA,Alabama,St. Clair,,Alabama,Saint Clair,,USA.1.58_1
USA,Alabama,Sumter,,Alabama,Sumter,,USA.1.60_1
USA,Alabama,Talladega,,Alabama,Talladega,,USA.1.61_1
USA,Alabama,Tallapoosa,,Alabama,Tallapoosa,,USA.1.62_1
USA,Alabama,Tuscaloosa,,Alabama,Tuscaloosa,,USA.1.63_1
USA,Alabama,Walker,,Alabama,Walker,,USA.1.64_1
USA,Alabama,Washington,,Alabama,Washington,,USA.1.65_1
USA,Alabama,Wilcox,,Alabama,Wilcox,,USA.1.66_1
USA,Alabama,Winston,,Alabama,Winston,,USA.1.67_1
USA,Alaska,Anchorage,,Alaska,Anchorage,,USA.2.3_1
USA,Alaska,Bethel Census Area,,Alaska,Bethel,,USA.2.4_1
USA,Alaska,Fairbanks North Star Borough,,Alaska,Fairbanks North Star,,USA.2.8_1
USA,Alaska,Juneau City and Borough,,Alaska,Juneau,,USA.2.10_1
USA,Alaska,Kenai Peninsula Borough,,Alaska,Kenai Peninsula,,USA.2.11_1
USA,Alaska,Kodiak Island Borough,,Alaska,Kodiak Island,,USA.2.13_1
USA,Alaska,Matanuska-Susitna Borough,,Alaska,Matanuska-Susitna,,USA.2.15_1
USA,Alaska,Nome Census Area,,Alaska,Nome,,USA.2.16_1
USA,Alaska,Northwest Arctic Borough,,Alaska,Northwest Arctic,,USA.2.18_1
USA,Alaska,Sitka City and Borough,,Alaska,Sitka,,USA.2.20_1
USA,Alaska,Southeast Fairbanks Census Area,,Alaska,Southeast Fairbanks,,USA.2.22_1
USA,Alaska,Valdez-Cordova Census Area,,Alaska,Valdez-Cordova,,USA.2.23_1
USA,Alaska,Yukon-Koyukuk Census Area,,Alaska,Yukon-Koyukuk,,USA.2.26_1
USA,Arizona,Apache,,Arizona,Apache,,USA.3.1_1
USA,Arizona,Cochise,,Arizona,Cochise,,USA.3.2_1
USA,Arizona,Coconino,,Arizona,Coconino,,USA.3.3_1
USA,Arizona,Gila,,Arizona,Gila,,USA.3.4_1
USA,Arizona,Graham,,Arizona,Graham,,USA.3.5_1
USA,Arizona,Greenlee,,Arizona,Greenlee,,USA.3.6_1
USA,Arizona,La Paz,,Arizona,La Paz,,USA.3.7_1
USA,Arizona,Maricopa,,Arizona,Maricopa,,USA.3.8_1
USA,Arizona,Mohave,,Arizona,Mohave,,USA.3.9_1
USA,Arizona,Navajo,,Arizona,Navajo,,USA.3.10_1
USA,Arizona,Pima,,Arizona,Pima,,USA.3.11_1
USA,Arizona,Pinal,,Arizona,Pinal,,USA.3.12_1
USA,Arizona,Santa Cruz,,Arizona,Santa Cruz,,USA.3.13_1
USA,Arizona,Yavapai,,Arizona,Yavapai,,USA.3.14_1
USA,Arizona,Yuma,,Arizona,Yuma,,USA.3.15_1
USA,Arkansas,Arkansas,,Arkansas,Arkansas,,USA.4.1_1
USA,Arkansas,Ashley,,Arkansas,Ashley,,USA.4.2_1
USA,Arkansas,Baxter,,Arkansas,Baxter,,USA.4.3_1
USA,Arkansas,Benton,,Arkansas,Benton,,USA.4.4_1
USA,Arkansas,Boone,,Arkansas,Boone,,USA.4.5_1
USA,Arkansas,Bradley,,Arkansas,Bradley,,USA.4.6_1
USA,Arkansas,Carroll,,Arkansas,Carroll,,USA.4.8_1
USA,Arkansas,Chicot,,Arkansas,Chicot,,USA.4.9_1
USA,Arkansas,Clark,,Arkansas,Clark,,USA.4.10_1
USA,Arkansas,Clay,,Arkansas,Clay,,USA.4.11_1
USA,Arkansas,Cleburne,,Arkansas,Cleburne,,USA.4.12_1
USA,Arkansas,Cleveland,,Arkansas,Cleveland,,USA.4.13_1
USA,Arkansas,Columbia,,Arkansas,Columbia,,USA.4.14_1
USA,Arkansas,Conway,,Arkansas,Conway,,USA.4.15_1
USA,Arkansas,Craighead,,Arkansas,Craighead,,USA.4.16_1
USA,Arkansas,Crawford,,Arkansas,Crawford,,USA.4.17_1
USA,Arkansas,Crittenden,,Arkansas,Crittenden,,USA.4.18_1
USA,Arkansas,Cross,,Arkansas,Cross,,USA.4.19_1
USA,Arkansas,Dallas,,Arkansas,Dallas,,USA.4.20_1
USA,Arkansas,Desha,,Arkansas,Desha,,USA.4.21_1
USA,Arkansas,Drew,,Arkansas,Drew,,USA.4.22_1
USA,Arkansas,Faulkner,,Arkansas,Faulkner,,USA.4.23_1
USA,Arkansas,Franklin,,Arkansas,Franklin,,USA.4.24_1
USA,Arkansas,Fulton,,Arkansas,Fulton,,USA.4.25_1
USA,Arkansas,Garland,,Arkansas,Garland,,USA.4.26_1
USA,Arkansas,Grant,,Arkansas,Grant,,USA.4.27_1
USA,Arkansas,Greene,,Arkansas,Greene,,USA.4.28_1
USA,Arkansas,Hempstead,,Arkansas,Hempstead,,USA.4.29_1
USA,Arkansas,Hot Spring,,Arkansas,Hot Spring,,USA.4.30_1
USA,Arkansas,Howard,,Arkansas,Howard,,USA.4.31_1
USA,Arkansas,Independence,,Arkansas,Independence,,USA.4.32_1
USA,Arkansas,Izard,,Arkansas,Izard,,USA.4.33_1
USA,Arkansas,Jackson,,Arkansas,Jackson,,USA.4.34_1
USA,Arkansas,Jefferson,,Arkansas,Jefferson,,USA.4.35_1
USA,Arkansas,Johnson,,Arkansas,Johnson,,USA.4.36_1
USA,Arkansas,Lafayette,,Arkansas,Lafayette,,USA.4.37_1
USA,Arkansas,Lawrence,,Arkansas,Lawrence,,USA.4.38_1
USA,Arkansas,Lee,,Arkansas,Lee,,USA.4.39_1
USA,Arkansas,Lincoln,,Arkansas,Lincoln,,USA.4.40_1
USA,Arkansas,Little River,,Arkansas,Little River,,USA.4.41_1
USA,Arkansas,Logan,,Arkansas,Logan,,USA.4.42_1
USA,Arkansas,Lonoke,,Arkansas,Lonoke,,USA.4.43_1
USA,Arkansas,Madison,,Arkansas,Madison,,USA.4.44_1
USA,Arkansas,Marion,,Arkansas,Marion,,USA.4.45_1
USA,Arkansas,Miller,,Arkansas,Miller,,USA.4.46_1
USA,Arkansas,Mississippi,,Arkansas,Mississippi,,USA.4.47_1
USA,Arkansas,Monroe,,Arkansas,Monroe,,USA.4.48_1
USA,Arkansas,Montgomery,,Arkansas,Montgomery,,USA.4.49_1
USA,Arkansas,Nevada,,Arkansas,Nevada,,USA.4.50_1
USA,Arkansas,Newton,,Arkansas,Newton,,USA.4.51_1
USA,Arkansas,Ouachita,,Arkansas,Ouachita,,USA.4.52_1
USA,Arkansas,Perry,,Arkansas,Perry,,USA.4.53_1
USA,Arkansas,Phillips,,Arkansas,Phillips,,USA.4.54_1
USA,Arkansas,Pike,,Arkansas,Pike,,USA.4.55_1
